State,Items Description,All,NIC-01,NIC-08,NIC-10,NIC-11,NIC-12,NIC-13,NIC-14,NIC-15,NIC-16,NIC-17,NIC-18,NIC-19,NIC-20,NIC-21,NIC-22,NIC-23,NIC-24,NIC-25,NIC-26,NIC-27,NIC-28,NIC-29,NIC-30,NIC-31,NIC-32,NIC-33,NIC-38,NIC-58,Other
 A & N. Island,1. Number of Factories (no.),20,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
 A & N. Island,2. Factories in Operation (no.),20,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
 A & N. Island,3. Fixed Capital,2309,400,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1858
 A & N. Island,4. Physical Working Capital,1441,333,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1064
 A & N. Island,5. Working Capital,-4088,-1316,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2843
 A & N. Island,6. Invested Capital,3751,733,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2923
 A & N. Island,7. Gross Value of Addition to Fixed Capital,109,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
 A & N. Island,8. Rent Paid for Fixed Assets,40,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
 A & N. Island,9. Outstanding Loan,3309,679,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2609
 A & N. Island,10. Interest Paid,677,304,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369
 A & N. Island,11. Rent Received for Fixed Assets,3,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
 A & N. Island,12. Interest Received,12,11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
 A & N. Island,13. Gross Value of Plant & Machinary,6483,857,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5626
 A & N. Island,14. Value of Product and By-Product,16587,1003,NA,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14916
 A & N. Island,15. Total Output,18400,1006,NA,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16719
 A & N. Island,16. Fuels Consumed,12752,19,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12725
 A & N. Island,17. Materials Consumed,2193,1183,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610
 A & N. Island,18. Total Inputs,16613,1241,NA,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14800
 A & N. Island,19. Gross Value Added,1787,-235,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919
 A & N. Island,20. Depreciation,706,75,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627
 A & N. Island,21. Net Value Added,1081,-310,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1293
 A & N. Island,22. Net Fixed Capital Formation,-561,-35,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-524
 A & N. Island,23. Gross Fixed Capital Formation,145,40,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
 A & N. Island,24. Addition in Stock of,171,70,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105
 A & N. Island,"   (a) Materials, Fuels etc.",114,10,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108
 A & N. Island,   (b) Semi-Finished Goods,-3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3
 A & N. Island,   (c) Finished Goods,60,60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
 A & N. Island,25. Gross Capital Formation,316,110,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
 A & N. Island,26. Income,378,-604,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,888
 A & N. Island,27. Profit,-550,-877,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300
Andhra Pradesh,1. Number of Factories (no.),16012,708,6,5515,318,343,508,55,51,145,477,171,56,401,198,728,3980,348,456,12,118,178,53,13,44,75,51,72,31,903
Andhra Pradesh,2. Factories in Operation (no.),12905,616,6,4300,272,208,447,47,49,126,375,137,45,381,160,534,3321,287,332,10,105,158,51,13,36,67,45,59,31,688
Andhra Pradesh,3. Fixed Capital,14824439,40897,105,995259,151625,69256,619459,33308,25399,7627,216336,46668,681214,710363,642728,81346,1815339,3221751,50689,12662,181296,145308,67535,10106,1951,22434,82381,6493,13598,4871306
Andhra Pradesh,4. Physical Working Capital,4766145,62951,18,1122357,34495,91914,260806,13577,45162,39346,81189,10496,356626,270884,333466,35034,392707,1156982,30189,35281,90179,79675,25194,15281,1581,17157,1826,3825,2905,155041
Andhra Pradesh,5. Working Capital,568138,31018,-769,457444,33963,24274,1666,9084,49353,14263,13357,22087,-540890,164701,253227,38021,173267,-223909,-8130,73876,139060,13393,32540,-73029,1439,7061,-4549,3869,-22605,-114945
Andhra Pradesh,6. Invested Capital,19590584,103848,123,2117616,186120,161170,880265,46886,70561,46972,297525,57165,1037840,981247,976194,116381,2208046,4378733,80877,47943,271475,224983,92729,25387,3532,39591,84208,10317,16503,5026347
Andhra Pradesh,7. Gross Value of Addition to Fixed Capital,2041706,3792,6,147453,15368,9194,69189,10704,3694,916,39844,8417,226393,71685,219946,23472,186643,413385,11907,392,52743,25978,18571,1140,58,1330,20629,334,494,458031
Andhra Pradesh,8. Rent Paid for Fixed Assets,66340,630,0,6821,488,848,890,769,153,93,1074,819,861,2962,2631,363,6757,2109,324,155,1967,2089,305,180,21,445,1271,48,169,31095
Andhra Pradesh,9. Outstanding Loan,5275811,29064,0,795609,45366,16683,447999,9368,3390,4832,108872,24904,11784,266278,92398,50440,707350,1014059,32361,77228,57956,146688,26752,37555,949,13161,52721,4376,10480,1187190
Andhra Pradesh,10. Interest Paid,741065,8155,0,155349,9241,10529,72530,1472,487,1721,20031,1816,2000,43226,20465,7571,105842,163389,3151,10168,9573,7785,2053,1091,131,1542,4059,1372,168,76150
Andhra Pradesh,11. Rent Received for Fixed Assets,6540,78,0,1168,221,1126,66,104,16,0,61,39,0,71,0,0,126,980,103,0,37,94,0,189,0,2,198,9,3,1848
Andhra Pradesh,12. Interest Received,59568,693,1,17165,791,329,1673,66,212,509,766,627,1331,3678,1225,1028,5186,14140,301,166,2718,1915,1218,307,3,154,324,79,19,2942
Andhra Pradesh,13. Gross Value of Plant & Machinary,13778834,2306,15,827062,116084,63841,682024,19599,15860,5070,220278,41714,864108,625501,519228,43301,1732349,2421934,43713,16036,160424,83836,45766,14547,380,15544,51237,881,13531,5132667
Andhra Pradesh,14. Value of Product and By-Product,21957213,255318,239,6212832,294154,194965,1258182,65732,83129,68315,406975,63575,3690070,1538859,982203,249644,1488314,3005641,109682,26720,620723,155138,63746,6972,1929,64641,10676,99513,10575,928753
Andhra Pradesh,15. Total Output,25191880,372196,287,6897378,311963,236762,1433397,93855,86469,84635,421069,71689,3729639,1709055,1027207,266171,1786962,3887733,125243,32922,715693,275327,78142,38901,2298,69434,40712,103848,14709,1278184
Andhra Pradesh,16. Fuels Consumed,1516416,7572,32,178229,23016,7845,124936,3438,2287,1779,48835,1963,21602,136615,52109,19546,363542,446503,3883,245,17287,8723,7131,944,124,651,981,555,878,35167
Andhra Pradesh,17. Materials Consumed,16353123,232576,20,5345123,190938,161592,889889,42576,39104,63025,279004,51710,3549329,1114045,594451,192111,635083,1845755,87074,30358,423623,159477,37642,16890,1434,56226,5479,96750,13649,198189
Andhra Pradesh,18. Total Inputs,21689821,340171,122,6255977,250929,197388,1201095,58308,46311,81666,357852,65181,3639666,1467083,747482,232871,1354141,3228494,102292,36489,558062,228141,63858,35528,1762,61474,29124,98602,17114,932638
Andhra Pradesh,19. Gross Value Added,3502059,32025,165,641401,61034,39374,232302,35547,40158,2969,63217,6508,89973,241972,279725,33300,432821,659239,22951,-3567,157631,47186,14284,3373,536,7960,11588,5246,-2405,345546
Andhra Pradesh,20. Depreciation,693946,5403,69,99375,12194,6316,46909,4104,3913,794,15561,5839,28113,42067,51699,8555,127701,120065,6006,1339,18294,12717,5748,1574,244,1485,5224,1433,1812,59392
Andhra Pradesh,21. Net Value Added,2808114,26622,96,542026,48841,33058,185392,31443,36246,2175,47656,669,61860,199905,228026,24745,305121,539174,16945,-4907,139337,34469,8536,1799,292,6475,6364,3813,-4217,286155
Andhra Pradesh,22. Net Fixed Capital Formation,823370,-2152,-63,20083,-2099,2029,7840,5956,-914,813,24411,1481,32319,3894,152772,4974,33946,196477,2863,-1082,25457,3623,4127,-487,-187,-213,3663,-1670,-1483,306991
Andhra Pradesh,23. Gross Fixed Capital Formation,1517315,3252,6,119458,10095,8345,54749,10061,2999,1607,39972,7320,60432,45961,204470,13529,161647,316542,8869,258,43751,16340,9875,1087,58,1272,8887,-237,329,366382
