State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2011-12,59737,26565,13673,4044,15456,2867,62604,6334,15924,53695,75953,33937,31581,2355,46482,NA,14800,6654,2143,18357,25,4503,12774,32304,74783,64942,265222,403779,4416,10328,397867,3860,103074
Andaman & Nicobar Islands,2012-13,61996,26839,15165,3903,16089,3901,65897,6450,17167,60319,83936,41707,39108,2600,52010,NA,16052,7773,3659,19516,43,4968,11323,35879,85078,74413,300411,450244,5493,13598,442139,3950,111934
Andaman & Nicobar Islands,2013-14,72389,31653,19074,4560,17102,6220,78609,6684,30928,68031,105643,51311,48527,2784,56360,NA,17299,8488,3010,21052,42,6468,12506,41175,88936,81648,331936,516188,11226,11509,515905,4030,128016
Andaman & Nicobar Islands,2014-15,76670,34026,19560,4634,18451,18738,95409,6650,30607,69302,106559,56278,53143,3135,69648,NA,19313,9991,8380,24375,41,7548,13462,45499,97359,90292,372538,574506,11504,13916,572094,4120,138858
Andhra Pradesh,2011-12,9400805,5204052,2758776,250314,1187663,1416194,10816999,5070622,1076517,3702645,9849784,2673600,2322700,350900,3251379,264279,1824800,95100,4500,501800,20700,540200,1425608,2833805,1393752,2730376,14308520,34975303,4243900,1279000,37940203,492750,76997
Andhra Pradesh,2012-13,11186428,6123041,3358438,253029,1451920,1459027,12645455,4237657,713029,3759004,8709690,3179200,2775600,403600,3778632,303702,2200400,90400,10600,535500,16600,621430,1584297,3434098,1552379,3063920,16592526,37947671,4656500,1463800,41140371,495660,83001
Andhra Pradesh,2013-14,12895568,7114707,3643026,280493,1857342,1419200,14314768,4242337,1014130,4065131,9321598,3784900,3290800,494100,4365811,334468,2516200,60600,5100,634700,18700,796043,1710463,3897345,1738971,3538298,19035788,42672154,5263500,1508500,46427154,498570,93121
Andhra Pradesh,2014-15,14819416,7893514,4309078,346160,2270664,1484300,16303716,4672266,1151729,4664889,10488884,4233400,3716000,517400,5076984,424228,2816000,94200,14900,780200,18700,928756,1900863,4405409,2200897,4215389,22032942,48825542,5512100,1690800,52646842,501510,104977
Andhra Pradesh,2015-16,17326726,8644285,5155487,340550,3186404,1633100,18959826,5078685,1251910,4986189,11316784,4577700,3964000,613700,5806226,436596,3217400,110500,25000,904200,19000,1093530,2125508,5092310,2594904,5248604,25445252,55721862,6719300,1447800,60993362,504460,120908
Andhra Pradesh,2016-17,20386004,9717089,5979648,335487,4353780,1757565,22143569,5740816,1298947,5467732,12507496,5174600,4382200,792400,6766317,445372,3798300,123600,28000,1020800,20600,1329645,2415390,5942431,3039676,6180240,29518654,64169719,7236500,1475500,69930719,507430,137814
Arunachal Pradesh,2011-12,455505,255815,29657,165510,4523,23022,478527,12900,69131,104529,186560,59892,56921,2971,23420,30,12382,0,0,78,0,10930,20884,38261,135418,142509,420384,1085471,41341,20542,1106270,14000,79019
Arunachal Pradesh,2012-13,545406,331962,24249,183780,5415,35024,580430,14827,78766,107821,201414,50878,47880,2998,27306,34,13618,0,0,89,0,13565,21562,41869,149466,167431,458512,1240356,43899,29591,1254664,14280,87862
Arunachal Pradesh,2013-14,603944,360344,34027,204038,5535,43616,647560,19714,89594,124594,233902,70494,67273,3221,33414,47,16059,0,0,100,0,17208,23571,44949,183105,189928,545461,1426923,62683,29405,1460201,14570,100220
Arunachal Pradesh,2014-15,686117,415520,38387,224017,8193,30842,716959,26120,113527,147842,287489,60421,56796,3625,35203,59,15467,0,0,109,0,19568,25207,48418,243867,218728,631844,1636292,70099,30272,1676119,14870,112718
Arunachal Pradesh,2015-16,744726,431318,44386,258676,10346,38068,782794,37743,139187,161705,338635,65846,62044,3802,42833,65,20413,0,0,121,0,22234,27548,50432,265622,257504,709785,1831214,78392,31165,1878441,15160,123908
Assam,2011-12,2848113,2061487,159289,231388,395949,1464989,4313102,1540255,191883,1188747,2920885,2045676,1961211,84465,810091,158334,356262,43626,0,36400,6594,208875,427077,1112543,821723,1077923,6295033,13529020,1203476,415005,14317491,314410,45538
Assam,2012-13,3391548,2496905,179160,246368,469115,1448306,4839854,1531538,210901,1270304,3012743,2284041,2191727,92314,929196,186316,422930,47129,255,39855,7277,225434,457213,1225917,929477,1182533,7008377,14860974,1346785,521335,15686424,318480,49254
Assam,2013-14,3692959,2720261,155267,311458,505973,1423477,5116436,1904299,257083,1537481,3698863,2573962,2473790,100172,1086729,215234,474743,25033,9711,36798,8377,316833,515905,1316472,982734,1493924,7969726,16785025,1519305,529808,17774522,322600,55098
Assam,2014-15,3855548,2890544,173478,261987,529539,1471149,5326697,2002936,296587,1733568,4033091,2987155,2876251,110904,1194568,252509,507668,4502,26223,35739,10308,357619,543651,1412466,1373611,1795658,9307109,18666897,1725309,582406,19809800,326780,60621
Assam,2015-16,4343564,3310990,175526,278521,578527,1493456,5837020,2055341,372236,2093594,4521171,3480621,3353852,126769,1392834,294682,579295,5023,29260,37732,12070,434772,591575,1534435,1556575,2209442,10765482,21123673,1945496,645770,22423399,331010,67742
Bihar,2011-12,6206655,4260778,1202821,418682,324374,19858,6226513,1466570,365887,2701685,4534142,4390442,4110861,279581,1754480,275142,840472,4895,3079,89270,7400,534222,883932,2802336,1358743,2219262,13409194,24169849,1716948,1172402,24714396,1050570,23525
Bihar,2012-13,7669989,5336544,1481102,457077,395266,23429,7693418,1035092,442206,2781005,4258302,5175534,4867227,308307,2161629,334829,1069740,2559,5848,112022,8434,628197,977417,3121656,1477676,2804281,15718193,27669913,2118544,1551663,28236794,1067200,26459
Bihar,2013-14,7371939,4522339,1831596,500976,517028,150804,7522743,2120942,385931,3184760,5691633,5205102,4873547,331555,2684993,395681,1347912,1728,4557,142482,8457,784175,1122273,3460385,1576835,3404578,17454166,30668542,2623561,1581969,31710134,1084080,29251
Bihar,2014-15,7951890,4688237,2060296,550132,653224,68107,8019997,2189965,345168,3449763,5984896,7448373,7081391,366982,3147173,462413,1572288,2228,13599,166600,10618,919427,1178022,3740641,2078171,4587589,22179969,36184863,3213546,2006421,37391988,1101240,33954
Bihar,2015-16,8095024,4577220,2247038,591042,679725,68549,8163574,2892956,363130,3667664,6923750,8789191,8383018,406173,3658194,540400,1833696,2228,13599,194712,10618,1062941,1236540,4081952,2129474,4845291,24740642,39827966,4067111,2544756,41350321,1118670,36964
Chandigarh,2011-12,12615,1205,10884,291,235,230,12845,101724,23897,113825,239446,614134,558189,55945,93714,838,34945,0,2195,20460,711,34565,285574,392976,127626,106809,1620833,1873124,27002,23337,1876789,10640,176390
Chandigarh,2012-13,13205,1381,11430,336,58,215,13420,113846,25678,114102,253626,734772,673113,61659,108281,974,43030,0,4585,23608,762,35322,324887,443135,154727,123219,1889021,2156067,34002,29209,2160860,10800,200080
Chandigarh,2013-14,14579,1562,12473,370,174,182,14761,134176,28433,129295,291904,843872,776905,66967,121459,1271,45231,0,4176,27357,873,42551,351409,524923,166034,143522,2151219,2457884,45366,24529,2478721,10960,226161
Chandigarh,2014-15,16233,1659,13992,388,194,179,16412,149631,29741,133321,312693,965781,890921,74860,148302,1070,54468,0,12391,33211,763,46399,373045,598448,183889,156543,2426008,2755113,52622,23309,2784426,11120,250398
Chandigarh,2015-16,17264,1757,14912,392,203,176,17440,161750,33875,135054,330679,1059461,977340,82121,159142,1083,64084,0,12551,33641,780,47003,400650,642729,203543,175655,2641180,2989299,64052,22907,3030444,11280,268656
Chhatisgarh,2011-12,2685950,1798258,226704,426205,234783,1970258,4656208,2435032,709991,1901330,5046354,932617,847597,85020,583708,121509,275736,0,2217,3756,10189,170301,537699,1755211,549383,781803,5140421,14842983,1704500,740100,15807383,257850,61305
Chhatisgarh,2012-13,3180908,2140927,255035,503309,281637,1923021,5103929,2817915,970686,1920771,5709372,1101271,1011450,89821,683320,140418,320533,0,4215,4347,11689,202117,609344,1919629,611344,875123,5800031,16613332,2087500,949700,17751132,262010,67750
Chhatisgarh,2013-14,3589934,2395705,310931,559637,323661,2144358,5734292,3810105,1051772,2260022,7121899,1288982,1178419,110563,783315,150098,357128,0,3337,4818,14026,253906,676094,2227586,781483,914758,6672218,19528409,2193874,1053267,20669016,266240,77633
Chhatisgarh,2014-15,3948847,2613371,352208,597785,385483,2451970,6400817,4370593,1198438,2669855,8238886,1535571,1414164,121407,871770,159176,386628,0,9507,5232,16675,294552,739057,2462166,867982,1112232,7588778,22228481,2601791,1332092,23498180,270530,86860
Chhatisgarh,2015-16,4341869,2829924,412501,672022,427422,2365874,6707743,4925000,1351026,3016954,9292980,1782734,1666029,116706,1003151,173471,443855,0,9842,5680,19415,350888,813950,2749303,1028511,1320891,8698541,24699264,3002113,1623812,26077565,274900,94862
Chhatisgarh,2016-17,4852218,3132527,467223,778945,473523,2482291,7334509,5403213,1461841,3391547,10256601,1979656,1838297,141359,1165466,186151,516676,0,11038,6084,22675,422842,903006,3034840,1274761,1616648,9974377,27565487,3393144,1944661,29013970,279330,103870
