State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2011-12,59736.99301,26564.66046,13672.78475,4043.848308,15455.69949,2867.168317,62604.16133,6333.782923,15924.13755,53695.09916,75953.01963,33936.69182,31581.20328,2355.488538,46482.01329,NA,14799.88145,6654.088885,2143.075823,18357.31275,24.865,4502.789372,12774.45279,32303.74734,74782.81952,64942.0088,265221.7336,403778.9145,4416,10328,397866.9145,3860,103074
Andaman & Nicobar Islands,2012-13,61238.18426,27265.40943,14179.14201,3731.405821,16062.227,3161.278822,64399.46308,6371.530651,18486.5791,56388.32402,81246.43377,38820.49784,36438.19209,2382.305749,49650.11951,NA,15649.51638,7144.188442,2449.840858,19671.01044,40.81727309,4694.746119,11097.99487,33160.17321,77949.31221,66882.30124,277560.3989,423206.2957,5163.143443,12781.43538,415588.0038,3950,105212
Andaman & Nicobar Islands,2013-14,65852.95908,30195.36816,15106.06459,4360.711618,16190.81471,8341.875658,74194.83473,6675.547725,18876.35052,61559.77747,87111.67571,45056.99424,42647.49839,2409.495857,52287.59564,NA,17069.19741,7324.101311,2635.22676,19914.41907,39.13157407,5305.519519,11448.19829,34701.06269,77079.99667,68529.31133,289103.1589,450409.6693,9795.453957,10042.39084,450162.7324,4030,111703
Andaman & Nicobar Islands,2014-15,68627.89075,31599.15003,15548.18844,4415.790725,17064.76155,14674.45,83302.34076,6494.622784,20926.10242,63828.41559,91249.14079,48340.80617,45900.90135,2439.904817,58860.06264,NA,17856.07375,7410.675859,7130.523498,20185.01147,33.7408448,6244.037219,12309.56867,36218.71848,84380.29832,71307.26303,311416.7173,485968.1989,9731.111623,11771.39685,483927.9136,4120,117458
Andhra Pradesh,2011-12,9400805,5204052,2758776,250314,1187663,1416194,10816999,5070622,1076517,3702600,9849739,2673500,2322600,350900,3251479,264279,1824800,95100,4500,501900,20700,540200,1425608,2833805,1393752,2730376,14308520,34975258,4243900,1279000,37940158,492750,76997
Andhra Pradesh,2012-13,9783109,5256943,2924660,246911,1354595,1428290,11211399,4018820,734540,3557072,8310432,2955400,2580300,375100,3546157,289703,2055000,86000,10100,505500,15400,584454,1563462,3242590,1446788,2825180,15579577,35101408,4315500,1354006.926,38062901.07,495660,76792
Andhra Pradesh,2013-14,10835268,6062373,2972129,249137,1551629,1387985,12223253,3857458,981461,3707561,8546480,3314900,2882600,432300,3847235,310521,2204100,53100,4500,559800,16400,698814,1651530,3412971,1531813,3030322,16788771,37558504,4480700,1327729.756,40711474.24,498570,81656
Andhra Pradesh,2014-15,11259968,6138257,3118532,241146,1762033,1519655,12779623,4164888,1101243,3969649,9235780,3635300,3191600,443700,4345557,367422,2403600,80400,12700,670800,16000,794635,1817409,3652147,1859641,3362223,18672277,40687680,4897700,1411261.935,44174118.06,501510,88082
Andhra Pradesh,2015-16,12175319,6001025,3491079,235649,2447566,1689493,13864812,4608551,1222658,4338148,10169357,4035900,3495300,540600,4801410,361364,2670700,91700,20700,728800,15800,912346,1961023,3999243,2084677,3865491,20747744,44781913,5390600,1159103.954,49013409.05,504460,97160
Andhra Pradesh,2016-17,13883329,6552800,3916400,230029,3184100,1907528,15790857,5086300,1375832,4681270,11143402,4423100,3749500,673600,5293334,348716,2982000,97000,22000,778000,16200,1049418,2108100,4414800,2310089,4305763,22855186,49789445,6046100,1133400,54702145,507430,107802
Arunachal Pradesh,2011-12,455505,255815,29657,165510,4523,23022,478527,12900,69131,104529,186560,59892,56921,2971,23420,30,12382,0,0,78,0,10930,20884,38261,135418,142509,420384,1085471,41341,20542,1106270,14000,79019
Arunachal Pradesh,2012-13,472794,281052,23953,163051,4738,32615,505409,14037,70426,100177,184640,46755,44029,2726,25073,34,12375,0,0,82,0,12582,21639,39147,139106,155066,426786,1116835,40644,27562,1129917,14280,79126
Arunachal Pradesh,2013-14,491427,295704,31123,160038,4562,37071,528498,18285,77083,110945,206313,60536,57861,2675,29158,43,14081,0,0,86,0,14948,22758,40330,156987,161856,471625,1206436,54249,25844,1234841,14570,84752
Arunachal Pradesh,2014-15,513597,312069,38040,157753,5735,31950,545547,23228,105408,126742,255378,48891,46059,2832,30253,51,13393,0,0,93,0,16716,24101,41495,197462,178131,520333,1321258,58907,26085,1354080,14870,91061
Arunachal Pradesh,2015-16,477074,275949,39258,156118,5749,58785,535859,34299,113445,131897,279641,48500,45739,2761,34331,54,16339,0,0,97,0,17841,25668,38653,200552,196704,544408,1359908,63964,27540,1396332,15160,92106
Assam,2011-12,2848113,2061487,159289,231388,395949,1464989,4313102,1540255,191883,1188747,2920885,2045676,1961211,84465,810091,158334,356262,43626,0,36400,6594,208875,427077,1112543,821723,1077923,6295033,13529020,1203476,415005,14317491,314410,45538
Assam,2012-13,3314074,2496905,172234,231855,413080,1349018,4663092,1426544,198124,1183219,2807887,2127460,2041474,85986,867559,177728,392293,43715,237,36968,6750,209868,448132,1119995,857488,1077970,6498604,13969583,1247593,482938,14734238,318480,46264
Assam,2013-14,3209159,2372688,162088,232953,441430,1251079,4460238,1673668,215835,1351276,3240779,2262227,2174187,88040,963007,199736,412390,21745,8436,31965,7276,281459,472252,1105795,840311,1249518,6893110,14594127,1318035,459622,15452540,322600,47900
Assam,2014-15,3226643,2373106,168351,234186,451000,1267685,4494328,1725925,243753,1493811,3463489,2574025,2478459,95566,1026705,215650,433682,3846,22401,30530,8806,311790,497116,1123047,1114171,1416693,7751757,15709574,1451179,489869,16670884,326780,51016
Assam,2015-16,3351716,2474086,170209,235302,472119,1294087,4645803,1912063,285753,1684278,3882094,2838308,2734765,103543,1141352,239371,466821,4290,24995,34066,9731,362078,523022,1132014,1174578,1578773,8388047,16915944,1539995,496465,17959474,331010,54257
Bihar,2011-12,6206655,4260778,1202821,418682,324374,19858,6226513,1466570,365887,2701685,4534142,4390442,4110861,279581,1754480,275142,840472,4895,3079,89270,7400,534222,883932,2802336,1358743,2219262,13409195,24169850,1716948,1172402,24714396,1050570,23525
Bihar,2012-13,6803952,4749271,1252513,425336,376833,21633,6825585,971402,401732,2560746,3933881,4672876,4394474,278402,2037224,334639,996239,2383,5446,104325,7858,586335,958003,2868648,1334968,2529747,14401466,25160933,1958839,1434692,25685080,1067200,24068
Bihar,2013-14,5951631,3710714,1400799,433006,407112,138585,6090217,1889284,412824,2726064,5028173,4568275,4277450,290824,2347317,396524,1137320,1458,3845,120221,7138,680810,1027313,2981896,1275241,2747801,14947842,26066232,2263772,1365022,26964982,1084080,24874
Bihar,2014-15,5971458,3542583,1537112,439923,451840,62856,6034314,1901006,550781,2748360,5200146,6406611,6091195,315415,2583288,395857,1267586,1796,10964,134314,8566,764205,1077187,3092782,1608989,3466877,18235733,29470193,2679293,1672853,30476634,1101240,27675
Bihar,2015-16,5914496,3360112,1629769,447266,477350,68751,5983247,2364988,634102,2899110,5898199,7408732,7066672,342059,2824092,395192,1412467,1716,10475,149984,8186,846072,1129482,3213945,1545002,3427871,19549123,31430570,3267216,2044269,32653517,1118670,29190
Chandigarh,2011-12,12615,1205,10884,291,235,230,12845,101724,23897,113825,239446,614134,558189,55945,93714,838,34945,0,2195,20460,711,34565,285574,392976,127626,106809,1620833,1873124,27002,23337,1876789,10640,176390
Chandigarh,2012-13,12132,1190,10581,313,48,197,12329,108123,24434,105186,237743,683073,625747,57326,101658,929,40171,0,4342,22062,698,33456,318434,412320,141795,114943,1772223,2022295,31309,27105,2026499,10800,187639
