State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Andaman & Nicobar Islands,2012-13,2.5,2.6,3.7,-7.7,3.9,10.3,2.9,0.6,16.1,5,7,14.4,15.4,1.1,6.8,NA,5.7,7.4,14.3,7.2,64.2,4.3,-13.1,2.7,4.2,3,4.7,4.8,16.9,23.8,4.5,2.3,2.1
Andaman & Nicobar Islands,2013-14,7.5,10.7,6.5,16.9,0.8,163.9,15.2,4.8,2.1,9.2,7.2,16.1,17,1.1,5.3,NA,9.1,2.5,7.6,1.2,-4.1,13,3.2,4.6,-1.1,2.5,4.2,6.4,89.7,-21.4,8.3,2,6.2
Andaman & Nicobar Islands,2014-15,4.2,4.6,2.9,1.3,5.4,75.9,12.3,-2.7,10.9,3.7,4.7,7.3,7.6,1.3,12.6,NA,4.6,1.2,170.6,1.4,-13.8,17.7,7.5,4.4,9.5,4.1,7.7,7.9,-0.7,17.2,7.5,2.2,5.2
Andhra Pradesh,2012-13,4.1,1,6,-1.4,14.1,0.9,3.6,-20.7,-31.8,-3.9,-15.6,10.5,11.1,6.9,9.1,9.6,12.6,-9.6,124.4,0.7,-25.6,8.2,9.7,14.4,3.8,3.5,8.9,0.4,1.7,5.9,0.3,0.6,-0.3
Andhra Pradesh,2013-14,10.8,15.3,1.6,0.9,14.5,-2.8,9,-4,33.6,4.2,2.8,12.2,11.7,15.2,8.5,7.2,7.3,-38.3,-55.4,10.7,6.5,19.6,5.6,5.3,5.9,7.3,7.8,7,3.8,-1.9,7,0.6,6.3
Andhra Pradesh,2014-15,3.9,1.3,4.9,-3.2,13.6,9.5,4.6,8,12.2,7.1,8.1,9.7,10.7,2.6,13,18.3,9.1,51.4,182.2,19.8,-2.4,13.7,10,7,21.4,11,11.2,8.3,9.3,6.3,8.5,0.6,7.9
Andhra Pradesh,2015-16,8.1,-2.2,11.9,-2.3,38.9,11.2,8.5,10.7,11,9.3,10.1,11,9.5,21.8,10.5,-1.6,11.1,14.1,63,8.6,-1.3,14.8,7.9,9.5,12.1,15,11.1,10.1,10.1,-17.9,11,0.6,10.3
Andhra Pradesh,2016-17,14,9.2,12.2,-2.4,30.1,12.9,13.9,10.4,12.5,7.9,9.6,9.6,7.3,24.6,10.2,-3.5,11.7,5.8,6.3,6.8,2.5,15,7.5,10.4,10.8,11.4,10.2,11.2,12.2,-2.2,11.6,0.6,11
Arunachal Pradesh,2012-13,3.8,9.9,-19.2,-1.5,4.8,41.7,5.6,8.8,1.9,-4.2,-1,-21.9,-22.6,-8.2,7.1,13.3,-0.1,NA,NA,5.1,NA,15.1,3.6,2.3,2.7,8.8,1.5,2.9,-1.7,34.2,2.1,2,0.1
Arunachal Pradesh,2013-14,3.9,5.2,29.9,-1.8,-3.7,13.7,4.6,30.3,9.5,10.7,11.7,29.5,31.4,-1.9,16.3,26.5,13.8,NA,NA,4.9,NA,18.8,5.2,3,12.9,4.4,10.5,8,33.5,-6.2,9.3,2,7.1
Arunachal Pradesh,2014-15,4.5,5.5,22.2,-1.4,25.7,-13.8,3.2,27,36.7,14.2,23.8,-19.2,-20.4,5.9,3.8,18.6,-4.9,NA,NA,8.1,NA,11.8,5.9,2.9,25.8,10.1,10.3,9.5,8.6,0.9,9.7,2.1,7.4
Arunachal Pradesh,2015-16,-7.1,-11.6,3.2,-1,0.2,84,-1.8,47.7,7.6,4.1,9.5,-0.8,-0.7,-2.5,13.5,5.9,22,NA,NA,4.3,NA,6.7,6.5,-6.8,1.6,10.4,4.6,2.9,8.6,5.6,3.1,2,1.1
Assam,2012-13,16.4,21.1,8.1,0.2,4.3,-7.9,8.1,-7.4,3.3,-0.5,-3.9,4,4.1,1.8,7.1,12.2,10.1,0.2,NA,1.6,2.4,0.5,4.9,0.7,4.4,0,3.2,3.3,3.7,16.4,2.9,1.3,1.6
Assam,2013-14,-3.2,-5,-5.9,0.5,6.9,-7.3,-4.4,17.3,8.9,14.2,15.4,6.3,6.5,2.4,11,12.4,5.1,-50.3,3459.5,-13.5,7.8,34.1,5.4,-1.3,-2,15.9,6.1,4.5,5.6,-4.8,4.9,1.3,3.5
