Items Description,Period,"Agriculture, forestry and fishing",crops,livestock,forestry and logging,fishing and aquaculture,Mining and quarrying,Manufacturing,"Food Products, Beverages and Tobacco","Textiles,  Apparel and Leather Products",Metal Products,Machinery and Equipment,Other Manufactured Goods,"Electricity, gas, water supply & other utility services",Construction,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration and defence,Other services,TOTAL GVA at basic prices
(at current prices),2011-12,1501947,982151,327334,124436,68027,261035,1409986,167524,153238,229627,334670,524927,186668,777335,883582,793681,89901,529534,61150,262442,6910,4393,63602,5108,125930,480226,1050651,491155,534827,8106946
(at current prices),2012-13,1675107,1088814,368823,137558,79911,285842,1572837,168227,187981,248915,356231,611483,215350,849365,1054533,954683,99850,609453,72296,300652,7190,8128,72054,6165,142969,536819,1239813,546231,617343,9202692
(at current prices),2013-14,1926372,1248776,422733,156674,98190,295794,1713452,175673,246424,286998,343383,660973,260155,921470,1184560,1078421,106140,689906,78724,338306,6476,6853,75719,6026,177804,599341,1470167,601912,700023,10363153
(at current prices),2014-15,2068958,1277590,510020,165222,116126,314177,1883937,204462,254174,257614,386342,781345,279631,987493,1311302,1196900,114402,783819,91946,367965,7592,11431,91029,6557,207298,659157,1704093,677494,811732,11481794
(at current prices),2015-16,2175547,1312189,560613,175617,127127,296253,2064820,218395,271158,267087,428006,880174,321651,1006403,1425925,1298004,127922,868438,101596,395474,6458,19950,95724,7162,242075,721073,1910046,737373,931113,12458642
(at constant (2011-12) prices),2011-12,1501947,982151,327334,124436,68027,261035,1409986,167524,153238,229627,334670,524927,186668,777335,883582,793681,89901,529534,61150,262442,6910,4393,63602,5108,125930,480226,1050651,491155,534827,8106946
(at constant (2011-12) prices),2012-13,1524288,983809,344375,124743,71362,262609,1486873,154540,177398,238520,345731,570684,191635,780050,981620,888665,92955,569523,69162,282425,7052,4183,66480,5716,134505,529792,1150239,501383,568262,8546275
(at constant (2011-12) prices),2013-14,1609198,1037060,363558,132093,76487,263107,1560709,153560,216411,277322,324994,588422,199601,800771,1034506,941941,92565,617556,73685,300563,7345,4550,70172,5210,156031,577914,1289493,510046,600748,9063649
(at constant (2011-12) prices),2014-15,1606140,997959,390436,135559,82187,293821,1689504,173692,219788,244535,354706,696782,213744,838203,1129292,1030914,98378,671627,80647,320209,7954,5188,75345,5546,176738,630200,1445349,544347,656796,9719023
(at constant (2011-12) prices),2015-16,1617208,975739,415949,137811,87710,324740,1872115,185558,242643,254679,380447,808787,224447,879782,1255360,1142849,112511,733801,86294,341641,8105,6057,80490,6145,205069,672799,1625999,569433,714830,10490514
