candidate_id,age,10th_score,12th_score,12th_stream,grad_course,grad_stream,grad_score,languages_known,known_skills,additional_certifications,internship_experience,reservation_category,qualification_level,location_preference,applied_for_internship
1,22,75,71,Arts,M.Tech,General,81.0,"Telugu,Marathi,English","Teamwork,Marketing,SQL",Research Cert,Cyber Security Intern,OBC,Postgraduate,Lucknow,True
2,21,70,82,,,,,"Telugu,Tamil,Marathi","Finance,SQL",,,ST,10th,Pune,True
3,25,93,73,Commerce,,,,"Urdu,Punjabi,Kannada","Finance,Java,Marketing,AI/ML",,,OBC,12th,Indore,True
4,25,76,82,Commerce,B.Com,Electrical,78.0,Telugu,"React,Operations",,,OBC,Graduate,Delhi,True
5,20,85,71,Science,B.A,Finance,85.0,Telugu,"Marketing,Cybersecurity,Teamwork,SQL",Finance Cert,Cyber Security Intern,ST,Graduate,Indore,True
6,24,75,78,,,,,Gujarati,"Networking,SQL,Communication",,,ST,10th,Delhi,True
7,24,80,79,Commerce,M.Sc,General,81.0,"Punjabi,Odia","Operations,Python",Cybersecurity Cert,Cyber Security Intern,OBC,Postgraduate,Ahmedabad,True
8,23,94,81,Science,,,,"Assamese,English","Marketing,Lab Work,Teamwork",,,General,12th,Mumbai,True
9,25,76,75,Science,M.Sc,General,88.0,"Hindi,Punjabi","SQL,Lab Work",Cybersecurity Cert,Mechanical Intern,ST,Postgraduate,Ahmedabad,True
10,20,73,83,Arts,B.Com,General,77.0,"Gujarati,Marathi","React,Research,Java,Cybersecurity",Cybersecurity Cert,,General,Graduate,Chennai,True
11,25,79,74,Arts,M.Tech,General,78.0,Hindi,"SQL,React",Food Safety Cert,,General,Postgraduate,Mumbai,True
12,22,81,85,Arts,B.Sc,Electrical,66.0,"Bengali,Punjabi","Communication,Operations",,,OBC,Graduate,Lucknow,True
13,21,77,86,Science,,,,"Telugu,Urdu","Cybersecurity,Teamwork,Marketing,SQL",,,ST,12th,Chandigarh,True
14,23,90,74,,,,,English,"Marketing,Operations",,,ST,10th,Chandigarh,True
15,22,77,75,Commerce,,,,"Urdu,Hindi","Teamwork,Finance,Java,Communication",,,SC,12th,Bangalore,True
16,21,79,83,,,,,"Malayalam,Odia,Hindi","Cybersecurity,SQL",,,OBC,10th,Indore,True
17,20,81,76,Science,B.Sc,Mechanical,71.0,Kannada,"Python,SQL,Operations",AI Cert,Cyber Security Intern,General,Graduate,Pune,True
18,20,82,89,Arts,,,,Malayalam,"AI/ML,SQL,Finance",,,OBC,12th,Ahmedabad,True
19,21,87,71,,,,,Odia,"React,Research",,,SC,10th,Hyderabad,True
20,25,91,70,,,,,Marathi,"SQL,Lab Work,Teamwork",,,General,10th,Kolkata,True
21,21,81,73,Commerce,,,,"English,Urdu,Punjabi","Cybersecurity,Lab Work",,,OBC,12th,Delhi,True
22,22,80,80,,,,,"Assamese,Malayalam","Marketing,Communication,Networking",,,OBC,10th,Jaipur,True
23,24,95,73,,,,,Gujarati,"AI/ML,Lab Work,Teamwork,Operations",,,General,10th,Hyderabad,True
24,24,92,86,Science,B.A,Computer Science,68.0,Assamese,"Python,Communication",,Food Science Intern,SC,Graduate,Ahmedabad,True
25,23,79,84,Arts,BE,HR,87.0,"Gujarati,Punjabi","Teamwork,Operations,Finance,React",,,OBC,Graduate,Bangalore,True
26,25,78,79,Arts,,,,"Malayalam,Odia","Operations,React,Teamwork,Cybersecurity",,,OBC,12th,Ahmedabad,True
27,21,80,74,Arts,B.A,HR,86.0,"Urdu,English,Bengali","Networking,Finance",Research Cert,,General,Graduate,Lucknow,True
28,20,83,90,,,,,"Gujarati,Malayalam","Cybersecurity,React",,,SC,10th,Chennai,True
29,24,83,88,Commerce,M.Tech,General,93.0,Malayalam,"Communication,Lab Work,AI/ML",AI Cert,,General,Postgraduate,Hyderabad,True
30,22,94,71,Commerce,BE,Computer Science,88.0,"English,Odia","Java,Python",,HR Intern,General,Graduate,Mumbai,True
31,23,74,85,Commerce,,,,"Assamese,Hindi","Research,Teamwork",,,OBC,12th,Lucknow,True
32,25,75,87,Arts,,,,"Marathi,Tamil,Odia","Communication,Cybersecurity",,,OBC,12th,Chandigarh,True
33,20,79,70,,,,,"Gujarati,Assamese","Java,Cybersecurity,Python,Research",,,OBC,10th,Lucknow,True
34,24,71,85,,,,,"Gujarati,Urdu","Cybersecurity,Python,Operations",,,SC,10th,Indore,True
35,23,93,90,,,,,"Bengali,Assamese","Java,Python,Networking,Marketing",,,OBC,10th,Indore,True
36,22,87,70,,,,,"Telugu,Odia","AI/ML,Research,Cybersecurity,Networking",,,ST,10th,Chennai,True
37,21,75,71,Science,BE,Computer Science,67.0,"Odia,Urdu","Operations,Marketing",,,ST,Graduate,Kolkata,True
38,22,79,84,Commerce,M.Sc,General,89.0,"Urdu,Punjabi,Telugu","SQL,Marketing,Python",Cybersecurity Cert,Food Science Intern,OBC,Postgraduate,Hyderabad,True
39,22,90,87,Commerce,,,,"Bengali,Tamil,Punjabi","Python,AI/ML,SQL,React",,,SC,12th,Ahmedabad,True
40,22,78,75,Arts,MBA,General,85.0,"Odia,Urdu","AI/ML,Python,Research,Networking",Food Safety Cert,Cyber Security Intern,General,Postgraduate,Hyderabad,True
41,25,76,76,Arts,BE,Mechanical,65.0,"Gujarati,Assamese","Finance,Operations,Marketing,Lab Work",Food Safety Cert,Mechanical Intern,SC,Graduate,Hyderabad,True
42,21,88,70,Arts,B.Sc,HR,89.0,"Urdu,Kannada,Gujarati","Networking,Java,Teamwork",Cybersecurity Cert,Marketing Intern,General,Graduate,Mumbai,True
43,24,87,85,Arts,,,,"Punjabi,Telugu","Java,Operations,Lab Work,Teamwork",,,ST,12th,Indore,True
44,25,76,77,Arts,,,,"Assamese,Telugu","Communication,Python",,,ST,12th,Jaipur,True
45,24,72,89,,,,,"English,Urdu,Gujarati","Research,Python,Marketing,Communication",,,ST,10th,Hyderabad,True
46,22,73,70,Commerce,,,,Marathi,"Cybersecurity,Communication,Finance,AI/ML",,,ST,12th,Kolkata,True
47,21,78,81,Science,BE,Computer Science,75.0,"Telugu,Hindi","Teamwork,Finance,Research,AI/ML",Cybersecurity Cert,Food Science Intern,ST,Graduate,Lucknow,True
48,20,70,78,Science,B.Tech,HR,78.0,"Kannada,Odia,Malayalam","Finance,Communication",Cybersecurity Cert,Technical Intern,OBC,Graduate,Hyderabad,True
49,23,84,83,Commerce,M.Tech,General,84.0,"Tamil,Odia,Hindi","Java,Cybersecurity",Food Safety Cert,Cyber Security Intern,OBC,Postgraduate,Jaipur,True
50,23,87,84,Commerce,,,,"Punjabi,Marathi,Malayalam","React,Cybersecurity",,,OBC,12th,Indore,True
51,21,83,70,Science,,,,Assamese,"Lab Work,Python,React,Networking",,,OBC,12th,Jaipur,True
52,22,79,88,Commerce,MBA,General,85.0,"Odia,Malayalam,Assamese","SQL,Cybersecurity,Teamwork,Java",Finance Cert,Marketing Intern,SC,Postgraduate,Chandigarh,True
53,20,71,73,Commerce,M.Sc,General,91.0,Urdu,"Lab Work,Marketing,Communication",AI Cert,Research Intern,SC,Postgraduate,Kolkata,True
54,22,85,85,Science,,,,Malayalam,"Communication,Operations,AI/ML",,,SC,12th,Mumbai,True
55,23,89,76,Arts,B.Com,Electrical,85.0,"Assamese,Marathi","Research,AI/ML",Cybersecurity Cert,Food Science Intern,General,Graduate,Hyderabad,True
56,20,90,89,,,,,"Odia,Urdu,Hindi","React,Lab Work",,,General,10th,Chennai,True
57,23,82,84,Science,,,,"Bengali,Tamil","Finance,SQL,Cybersecurity",,,ST,12th,Hyderabad,True
58,24,85,79,Commerce,,,,"Odia,Telugu,Marathi","React,Finance,Teamwork,Operations",,,General,12th,Chennai,True
59,25,88,81,Arts,M.Sc,General,88.0,Kannada,"SQL,Finance,Networking,Java",Finance Cert,,SC,Postgraduate,Mumbai,True
60,23,84,79,Arts,M.Sc,General,76.0,Marathi,"Cybersecurity,Java",Cybersecurity Cert,Cyber Security Intern,SC,Postgraduate,Jaipur,True
61,24,73,75,Arts,,,,"Kannada,Urdu","Networking,Marketing,AI/ML,SQL",,,OBC,12th,Delhi,True
62,24,88,85,Arts,BE,Finance,66.0,"Bengali,Malayalam","React,Research",,Technical Intern,General,Graduate,Hyderabad,True
63,23,83,72,Science,,,,"Assamese,Gujarati","React,Research,Communication",,,General,12th,Pune,True
64,20,84,70,Arts,,,,"Gujarati,Telugu","Communication,Teamwork",,,OBC,12th,Hyderabad,True
65,21,71,70,,,,,"Odia,Telugu","Communication,Teamwork",,,OBC,10th,Delhi,True
66,22,86,72,,,,,"Tamil,Assamese","React,Cybersecurity,Networking",,,OBC,10th,Ahmedabad,True
